song,artist,genre,year,lyric_corpus
세 사람 (With 성시경),토이,발라드,2014,둘 만의 비밀이 닮아 있는 말투가 친구라는 슬픈 말이 날 멈추게 만들어 말할 수 없는 나의 고백용 길낼 수 없던 수많은 날 너의 연인은 내 오랜 친구 축복의 노래 꽃잎 흩날리면 눈부신 너의 모습 얼마나 예쁠까매일 연습했던 말이젠 안녕 스무 살 그 시절 우리 여름날의 멜로디아직 우릴 지켜준 나만의 약속술 취해 혼자 비틀대던 밤 우리 셋우 정지켜 내 잔 약속 내겐 사랑이었음을 둘만의 비밀이 닮아 있는 말투가 친구라는 슬픈 말이 날 멈추게 만들어 말할 수 없는 나의 고백용 길낼 수 없던 수많은 날 너의 연인은 내 오랜 친구 너에게 하고 싶은 말 넘쳐 흐르는데 너만 보면 내맘춤을 추는 데 모르는 사이 베어 버린 상처가 널 보면 자꾸 아파 저문이 열린다 그녀가 들어온 다난 고개를 들 수 없어 이렇게 좋은 날에 웃을 수밖에 없는 사람 언제나 날반기는 두 사람 남겨진 나의 사랑 오나의 청춘이 멀어진 다 두 손 꼭 잡은 채로 그토록 원했던 오늘을 내 소중한 그녀의 내일을 나의 오랜 친구 여부 탁해
시간과 낙엽,AKMU (악뮤),발라드,2014,맨발로 기억을 거닐다 떨어지는 낙엽에 그간 잊지 못한 사람들을 보낸 다맨발로 기억을 거닐다 붉게 물든 하늘에 그간 함께 못한 사람들을 올린 다시간은 물 흐르듯이 흘러가고 난 추억이란 댐을 놓아 미처 잡지 못한 기억이 있어 오늘도 수평선 너머를 보는 이유맨발로 기억을 거닐다 날 애싸는 단풍에 모든 걸 내어주고 살포시 기대본 다맨발로 기억을 거닐다 다 익은 가을 내에 허기진 맘을 붙잡고 곤히 잠이 든 다 가슴의 꽃과 나무시 들어지고 깊게 묻혀 꺼내지 못할 기억그곳에 잠들어 버린 그대로가 아름다운 것이 슬프 다슬프 다
시간과 낙엽,AKMU (악뮤),발라드,2014,맨발로 기억을 거닐다 노란 은행나무에 숨은 나의 옛날 추억을 불러본 다 맨발로 기억을 거닐다 불어오는 바람에 가슴으로 감은 눈을 꼭 안아본다
끝사랑,김범수,발라드,2014,내가 이렇게 아픈데 그 댄 어떨까요
끝사랑,김범수,발라드,2014,원래 떠나는 사람이 더 힘든 법인데 아무 말하지 말아요
끝사랑,김범수,발라드,2014,그 대 마음 알아요
끝사랑,김범수,발라드,2014,간신히 참고 있는 날 울게 하지마요이별은 시간을 멈추게 하니까 모든 걸 빼앗고 추억만 주니까 아무리 웃어보려고 안간힘써봐도 밥 먹다가도 울겠지만 그대오 직 그대만이 내 첫 사랑 내 끝 사랑 지금부터 달라질 수 없는 한 가지 그대만이 영원한 내 사랑 그대도 나처럼 잘못했었다면 그 곁에 머물기 수월했을까요
끝사랑,김범수,발라드,2014,사랑해 떠난다는 말과 분하다는 말코웃음치던 나였지만 그대오 직 그대만이 내 첫 사랑 내 끝 사랑 지금부터 그대나를 잊고 살아도 그대만이 영원한 내 사랑 나는 다시는 사랑을 못할 것 같아요
끝사랑,김범수,발라드,2014,그 대가 아니면
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,궁금해서 잠이 안와 그때 왜 그랬어 구차해도 묻고 싶어 그때 난 뭐였어나 나나나나나나나나만 애탄거니 나나나나나나나나 난 진심인데 넌 그랬구나
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,그랬어 좋았는데 넌 아니었나 봐 그랬구나
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,그때 넌 그런 줄 모르고 나 혼자 이럴 거면 바래다 주었던 그날 밤 넌 나를 안아주지 말았어야지 설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 그러지는 말지 비겁하게 숨어버린 너를 돌아올 거라고 믿은 내가 바보야
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,사랑스럽게 날보던 네 눈빛에 빠졌던 내가 바보지 이럴 줄도 모르고 이렇게 돼 버린 이상 그냥 얘기할 게 이미 떠나버린 니맘 돌릴 순 없으니 그랬구나
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,그때 넌네 생각뿐인데 나 혼자 이럴 거면 바래다 주었던 그날 밤 넌 나를 안아주지 말았어야지 설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 이럴 줄은 몰랐어
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,어때 넌 어떻게 하고 싶니 지금 이 순간의 감정일지 중간에 금방에러 가 날 것인지 하지만 내 생각엔 오래 가진 못할 거 같아 너 아닌 나 때문에 이 관계는 이어지지 못해 잠 못 들어 아픈 이 새벽 잘 지내니 문자 한 번쯤은 해주지
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,혹시나 하며 올 린 우리 얘기에 좋아요
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,누르지 말지 괜히 기대하게 바래다주던 그날 밤처럼 돌아와서 포근하게 나를 안아줘 설렘에 밤잠 설치게 했던 말로 또 두근거리게 해줘 다시 날 녹여줘 이럴 거면 귀엽다고 하지 말지 그러지 말지 혼잣말만 늘어가네
이럴거면 그러지말지 (Feat. Young K),백아연,발라드,2015,전하지도 못할 말만
또 다시 사랑,임창정,발라드,2015,아픔이 좀 더 작아질까 의미 없는 만남을 하다가 어느 날 그 대가 흘린 눈물 왠지나와 같다 느껴서 이렇게 그대를 지키는가봐
또 다시 사랑,임창정,발라드,2015,요 행복하고 싶었던 그대를 몰랐던 누군 갈 또 알아가면서 분명 행복할 걸 알겠지만 내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또다시 사랑해요
또 다시 사랑,임창정,발라드,2015,사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 어느 날 그 대가 숨긴 눈물 왠지 나와 같다 느껴서 이렇게 그대를 지키는가봐
또 다시 사랑,임창정,발라드,2015,요 행복하고 싶었던 그대를 몰랐던 누군 갈 또 알아가 는 게 혹시 두렵기도 하겠지만 내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또다시 사랑해요
또 다시 사랑,임창정,발라드,2015,사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 절대 우리 작은 다툼조차 하지마요이별 후엔 서운함만 가슴속에 남으니 사소한 그 표현이 그 말들이 언제나 나에겐 참고 마울 거예요
또 다시 사랑,임창정,발라드,2015,내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또다시 사랑해요
또 다시 사랑,임창정,발라드,2015,사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 사랑언 제 나이번이 마지막이라며
두사랑 (Feat. 매드클라운),다비치,발라드,2015,미쳤다고 하겠지
두사랑 (Feat. 매드클라운),다비치,발라드,2015,내 지금 사랑이 어떤 건지 듣는 사람들은 사랑이란 반드시 한 사람과 하는 거라면서 나를 욕하겠지
