song,artist,genre,year,lyric_corpus
죽을만큼..,오종혁,발라드,2006,니가 아닌 사람
죽을만큼..,오종혁,발라드,2006,사랑하고 웃으며
죽을만큼..,오종혁,발라드,2006,너를 지우고 또 다시 지우려
죽을만큼..,오종혁,발라드,2006,다시 사랑할 수 있을까
죽을만큼..,오종혁,발라드,2006,시간이 지나면 지날수록
죽을만큼..,오종혁,발라드,2006,그댈 기억할까 봐
죽을만큼..,오종혁,발라드,2006,돌아서는 너의 걸음을
죽을만큼..,오종혁,발라드,2006,울고 있는 널 보면서
죽을만큼..,오종혁,발라드,2006,쉽지는 않겠지만
죽을만큼..,오종혁,발라드,2006,닦아보고 또 닦아봐도
죽을만큼..,오종혁,발라드,2006,그저 한숨만 토해내고
죽을만큼..,오종혁,발라드,2006,언젠가는 다른 누군가를 만나
죽을만큼..,오종혁,발라드,2006,나 비겁한 남자라서
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,하지만 이곳은 너무나 어두워
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,그 냉정한 잔인한 내 모습에
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,그렇게 나는 외면하며
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,잔인하게 냉정하게 살아가
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,홀로된 내가 있어
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,혼자숨쉬고 있어
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,잊지못할 돌린 발걸음 뒤에
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,사람을 찾아 사랑을 만나
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,나는 존재하며
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,내 모습조차 보이지않아
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,혼자가 아닌 한 사람 그렇게
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,이런내모습 보인다해도 모른척
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,눈을 감아 지금 모든걸 듣는 채
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,사랑을 찾아 사랑을 만나
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,내가원하던 너의 모습도
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,너무 멀리 왔나봐
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,그렇게 나는 존재하며
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,니가그려낸 나란 환상도
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,우리가 아닌 너와 나
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,나조차도 지쳐버린거야
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,이런 내모습 변한다해도 모른척
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,이런 나를 찾아주길 원했지만
