song,artist,genre,year,lyric_corpus
Baby Baby,조규찬,발라드,2001,기억 하나요
Baby Baby,조규찬,발라드,2001,그대에게는 우연 같은 만남 기억 하나요
Baby Baby,조규찬,발라드,2001,그대에게는 우연 같은 만남
내게 오는 길,성시경,발라드,2001,지금 곁에서 딴 생각에 잠겨 걷고 있는 그 대설레는 마음에 몰래 그대 모습 바라보면서 내 안에 담아 요사랑이겠죠
내게 오는 길,성시경,발라드,2001,또 다른 말로는 설명할 수 없죠
내게 오는 길,성시경,발라드,2001,함께 걷는 이 길 다시 추억으로 끝나지 않게 꼭 오늘처럼 지켜갈게 요 사랑한다는 그 말아 껴둘 걸 그랬죠
내게 오는 길,성시경,발라드,2001,이젠 어떻게 내 맘 표현해야 하나 모든 것이 변해가도 이맘으로 그 대사랑할게 요
내게 오는 길,성시경,발라드,2001,망설였나요
내게 오는 길,성시경,발라드,2001,날 받아주기가 아직 힘든가요 그 댈 떠난 사람 그만 잊으려고 애쓰지마요나 그때까지 기다릴 테니 사랑한다는 그 말아 껴둘 걸 그랬죠
내게 오는 길,성시경,발라드,2001,이젠 어떻게 내 맘 표현해 야하나 모든 것이 변해가도 이맘으로 그 대사랑할게 요 눈물이 또 남아 있다면 모두 흘려버려
내게 오는 길,성시경,발라드,2001,요이 좋은 하늘 아래 우리만 남도록 사랑할 수 있나요
내게 오는 길,성시경,발라드,2001,내가 다가간만큼 이젠 내게 와줘요
내게 오는 길,성시경,발라드,2001,내게 기댄 마음 사랑이 아니라 해도 괜찮아요
내게 오는 길,성시경,발라드,2001,그 댈 볼 수 있으니 괜찮아요
내게 오는 길,성시경,발라드,2001,내가 사랑할 테니
좋은 사람 (Feat. 김형중),토이,발라드,2001,오늘은 무슨 일인 거니 울었던 얼굴 같은 걸 그가 너의 마음을 아프게 했니 나에겐 세상 젤소 중 한 너인데 자판기 커피를 내밀어 그 속에 감춰온 내 맘을 담아 고마워오 빤 너무 좋은 사람이야
좋은 사람 (Feat. 김형중),토이,발라드,2001,그 한마디에 난 웃을 뿐 혹시넌 기억하고 있을까
좋은 사람 (Feat. 김형중),토이,발라드,2001,내 친구 학교 앞에 놀러왔던 날 우리들 연인 같다 장난쳤을 때 넌 웃었고 난밤지 새웠지
좋은 사람 (Feat. 김형중),토이,발라드,2001,네가 웃으면 나도 좋아 넌장난이라 해도 널 기다렸던 날 널 보고 싶던 밤내 겐벅찬 행복 가득한데 나는 혼자 여도 괜찮아 널 볼 수만 있다면 늘 너의 뒤에서 늘 널바라보는 그게 내가가 진 몫인 것만 같아 친구들 지겹 다 말하지 늘 같은 노랠부르는 나에게 하지만 그게 바로 내 마음인 걸 그대먼 곳만 보네 요
좋은 사람 (Feat. 김형중),토이,발라드,2001,혹시 넌 그날 내 맘을 알까 우리들아는 친구 모두 모인 밤 술 취한 널 데리러 온 그를 내게 인사시켰던 나의 생일날 네가 좋으면 나도 좋아 네 옆에 그를 보며 나완 너무 다른 난초라 해지는 그에게 널 부탁한다는 말밖에 널울리는 사람과 위로밖에 못하는 나 네가 웃으면 나도 좋아 넌장난이라 해도 널 기다렸던 날 널 보고 싶던 밤내 겐벅찬 행복 가득한데 나는 혼자 여도 괜찮아 널 볼 수만 있 다면 나 늘너의 뒤에서 늘 널바라보는 그게 내가 가진 몫인 것만 같아
하루,김범수,발라드,2001,사랑이 날 또 아프게 해요
하루,김범수,발라드,2001,사랑이 날 또 울게 하네요
하루,김범수,발라드,2001,다시는 못 쓰게 된 내 가슴은 이렇게 아픈데 사랑은 잔인하게 떠나가네요
하루,김범수,발라드,2001,정말 내가 괜찮을까요
하루,김범수,발라드,2001,그 대가 한 그 인사처럼 그래그댄 눈 가린 채 모르는 척 떠나는 게 차라리 편할 테죠
하루,김범수,발라드,2001,변할 수도 있을 거에 요 저 바람도 매일이 다른데 그래도 이 세상에 살고 싶단 행복을 준 건 너무나도 고마웠어요
하루,김범수,발라드,2001,그렇게 사랑했던 추억마저 잊어달라며 사랑은 잔인하게 떠나가네요
하루,김범수,발라드,2001,잊을 수도 있을 거예요
하루,김범수,발라드,2001,그 대처럼 나도변 하겠죠
하루,김범수,발라드,2001,하지만 그날까지 내가 어찌 살아낼까
하루,김범수,발라드,2001,요벌써 그 댈 보고 싶어요
하루,김범수,발라드,2001,이렇게 또 하루가 지나가네요
하루,김범수,발라드,2001,남겨진 모든 걸 가져가줘요
하루,김범수,발라드,2001,참을 수가 없는 아픔도 기억도 사랑이 날 또 아프게 하네요
하루,김범수,발라드,2001,다시는 못 쓰게 된 내 가슴은 이렇게 아픈데 사랑은 꿈을 깨듯 허무하네요
사진속에 담긴 추억,임재범,발라드,2001,나의 기억 속에 남겨진 그 대 모습이 젠 정말 잊어야만 해 흘러만 가는 시간처럼 그대 그리움이 안타까운 마음만 주네
사진속에 담긴 추억,임재범,발라드,2001,소리 없는 슬픔만 나의 맘에 쌓이고 희미해진 불빛 속에 떠나버린 그 대여내 사랑 나의 사랑 어둠이 다가오네
사진속에 담긴 추억,임재범,발라드,2001,눈감으면 그 대가 내 곁에 있는데 멀리 떠나갔지만 그대만을 사랑해 사진 속에 담긴 추억들도 이젠 잊어야만 해 이젠이별 뒤에 남겨둔 슬픈 사랑나의 웃음 흩어져 가네
